time,emg
1742842580.4317346,934
1742842580.4327877,932
1742842580.4338415,932
1742842580.434894,933
1742842580.4359472,931
1742842580.4370005,932
1742842580.438054,932
1742842580.4391067,932
1742842580.4401603,931
1742842580.4412131,932
1742842580.442267,932
1742842580.4433196,932
1742842580.4443727,932
1742842580.4454265,933
1742842580.446497,932
1742842580.4475377,934
1742842580.4486077,932
1742842580.4496546,932
1742842580.4507096,933
1742842580.4517612,933
1742842580.452825,931
1742842580.453881,930
1742842580.4549305,932
1742842580.455983,932
1742842580.457036,931
1742842580.4581409,935
1742842580.4591713,930
1742842580.460215,932
1742842580.4612722,931
1742842580.4623241,931
1742842580.4633772,933
1742842580.4644291,932
1742842580.4654686,932
1742842580.4665225,932
1742842580.4675748,932
1742842580.4686275,932
1742842580.4696805,931
1742842580.4707332,932
1742842580.4718142,931
1742842580.472839,932
1742842580.4738922,932
1742842580.474945,933
1742842580.4759977,933
1742842580.4770505,933
1742842580.478104,933
1742842580.4791577,931
1742842580.480211,931
1742842580.4812639,931
1742842580.4823196,931
1742842580.4833882,931
1742842580.4844334,932
1742842580.4854693,932
1742842580.4865324,931
1742842580.4875813,932
1742842580.4886343,933
1742842580.489688,932
1742842580.4907405,932
1742842580.4917965,934
1742842580.492875,929
1742842580.4939184,932
1742842580.4949684,934
1742842580.4960213,933
1742842580.4970748,934
1742842580.498142,931
1742842580.4992073,932
1742842580.5002494,932
1742842580.5013025,933
1742842580.502355,933
1742842580.5034263,930
1742842580.5044715,932
1742842580.5055244,932
1742842580.5065765,932
1742842580.5076296,932
1742842580.5086858,930
1742842580.5097353,932
1742842580.5107882,932
1742842580.511841,932
1742842580.5128944,932
1742842580.5139472,932
1742842580.5149999,932
1742842580.5160525,932
1742842580.5171058,931
1742842580.5181587,931
1742842580.5192113,931
1742842580.5202641,931
1742842580.5213177,931
1742842580.52237,932
1742842580.5234227,931
1742842580.5244753,931
1742842580.525693,933
1742842580.526589,933
1742842580.5276496,931
1742842580.5286984,932
1742842580.5297513,931
1742842580.5308037,931
1742842580.5318563,933
1742842580.5329094,933
1742842580.533966,932
1742842580.535018,933
1742842580.536071,934
1742842580.5371244,931
1742842580.538179,931
1742842580.5392315,931
1742842580.5402849,931
1742842580.5413382,931
1742842580.5424082,931
1742842580.5434635,931
1742842580.5445125,931
1742842580.545606,931
1742842580.546619,931
1742842580.547672,931
1742842580.5487254,932
1742842580.549779,931
1742842580.5508318,931
1742842580.5518851,931
1742842580.5529382,932
1742842580.553992,932
1742842580.5550447,932
1742842580.556098,933
1742842580.5571513,917
1742842580.558205,896
1742842580.5592577,879
1742842580.560311,861
1742842580.5613642,844
1742842580.562418,828
1742842580.5634708,809
1742842580.564524,792
1742842580.5655782,776
1742842580.566632,758
1742842580.5676847,743
1742842580.5687377,727
1742842580.5697913,712
1742842580.5708537,698
1742842580.571903,682
1742842580.5729558,668
1742842580.57401,654
1742842580.5750632,640
1742842580.576116,627
1742842580.5771692,613
1742842580.5782228,600
1742842580.5792766,587
1742842580.5803292,574
1742842580.5813828,562
1742842580.582437,550
1742842580.5834904,538
1742842580.5845428,527
1742842580.585596,516
1742842580.586646,507
1742842580.5877025,494
1742842580.5887556,483
1742842580.5898097,474
1742842580.5908635,464
1742842580.591916,453
1742842580.5929692,444
1742842580.594023,435
1742842580.5950766,425
1742842580.5961294,416
1742842580.5971828,407
1742842580.598236,399
1742842580.59929,391
1742842580.6003428,382
1742842580.6013956,374
1742842580.6024492,366
1742842580.603503,359
1742842580.6045558,351
1742842580.6056092,344
1742842580.6066628,336
1742842580.607716,330
1742842580.608769,323
1742842580.6098225,316
1742842580.6108758,310
1742842580.6119297,304
1742842580.6129823,298
1742842580.6140356,292
1742842580.615089,286
1742842580.6161425,280
1742842580.6171956,274
1742842580.618249,269
1742842580.619302,263
1742842580.6203556,258
1742842580.6214087,253
1742842580.6224623,248
1742842580.623536,244
1742842580.6245685,239
1742842580.625622,235
1742842580.6266747,230
1742842580.6277359,226
1742842580.6287863,221
1742842580.6298397,217
1742842580.6308925,213
1742842580.631946,209
1742842580.632999,205
1742842580.634052,201
1742842580.6351135,198
1742842580.6361642,194
1742842580.6372166,191
1742842580.638272,197
1742842580.6393259,217
1742842580.6403797,655
1742842580.6414323,934
1742842580.6424851,932
1742842580.6435385,931
1742842580.644592,934
1742842580.645645,932
1742842580.646698,932
1742842580.647751,931
1742842580.648805,931
1742842580.6498578,932
1742842580.650911,932
1742842580.651964,931
1742842580.6530175,931
1742842580.6540709,932
1742842580.6551237,932
1742842580.6561768,932
1742842580.6572306,932
1742842580.6582937,931
1742842580.6593425,934
1742842580.6603959,934
1742842580.6614485,933
1742842580.6625006,932
1742842580.6635532,931
1742842580.6646025,930
1742842580.6656594,933
1742842580.666712,933
1742842580.6677647,932
1742842580.6688182,934
1742842580.6698709,934
1742842580.6709235,933
1742842580.671976,933
1742842580.6730256,932
1742842580.6740947,931
1742842580.675151,932
1742842580.6761997,934
1742842580.6772523,932
1742842580.678306,932
1742842580.679359,932
1742842580.680412,932
1742842580.6814659,933
1742842580.6825185,932
1742842580.6835828,932
1742842580.684631,932
1742842580.685684,932
1742842580.6867454,931
1742842580.6877947,932
1742842580.6888468,933
1742842580.689901,932
1742842580.6909533,932
1742842580.692006,932
1742842580.693059,932
1742842580.6941123,934
1742842580.6951647,932
1742842580.6962175,932
1742842580.6972706,933
1742842580.6983237,933
1742842580.699376,931
1742842580.700429,932
1742842580.701468,934
1742842580.70252,934
1742842580.7035723,932
1742842580.7046251,932
1742842580.7056744,932
1742842580.706731,931
1742842580.7077837,933
1742842580.7088366,932
1742842580.7098901,934
1742842580.7109423,932
1742842580.7119951,932
1742842580.713048,932
1742842580.7141025,931
1742842580.7151554,931
1742842580.7162085,932
1742842580.7172616,932
1742842580.7183156,931
1742842580.7193685,933
1742842580.7204216,932
1742842580.7214754,931
1742842580.722529,932
1742842580.7235818,932
1742842580.724635,932
1742842580.7256882,932
1742842580.726742,932
1742842580.7277946,931
1742842580.728848,931
1742842580.7299013,931
1742842580.7309551,932
1742842580.732008,931
1742842580.733061,932
1742842580.7341146,932
1742842580.7351682,932
1742842580.7362208,931
1742842580.7372742,931
1742842580.7383275,932
1742842580.7393813,931
1742842580.740434,931
1742842580.7414875,931
1742842580.7425861,928
1742842580.7435944,931
1742842580.7446477,931
1742842580.745701,933
1742842580.7467546,930
1742842580.7478073,931
1742842580.7488606,932
1742842580.7499142,931
1742842580.7509677,931
1742842580.7520206,932
1742842580.7530737,932
1742842580.754127,931
1742842580.7551808,931
1742842580.7562335,931
1742842580.7572865,931
1742842580.7583401,932
1742842580.7593937,933
1742842580.7604465,933
1742842580.7615,933
1742842580.762553,931
1742842580.7636068,931
1742842580.7646594,931
1742842580.765716,932
1742842580.766769,933
1742842580.7678223,932
1742842580.7692304,928
1742842580.7703214,930
1742842580.77137,929
1742842580.7724223,912
1742842580.7734764,894
1742842580.7745295,877
1742842580.7755833,861
1742842580.776636,844
1742842580.7776895,828
1742842580.7787426,811
1742842580.7797964,795
1742842580.7808537,780
1742842580.7819064,764
1742842580.7829587,748
1742842580.7840123,733
1742842580.785065,717
1742842580.7861187,702
1742842580.7871716,687
1742842580.7882252,673
1742842580.789278,658
1742842580.7903314,644
1742842580.791385,629
1742842580.7924385,616
1742842580.7934914,602
1742842580.7945447,590
1742842580.7955978,577
1742842580.7966516,564
1742842580.7977047,552
1742842580.7987576,540
1742842580.7998111,529
1742842580.800865,518
1742842580.8019183,507
1742842580.8029714,497
1742842580.8040242,487
1742842580.805078,476
1742842580.8061311,466
1742842580.8071845,456
1742842580.8082745,447
1742842580.8092906,437
1742842580.8103442,428
1742842580.811397,419
1742842580.8124506,412
1742842580.8135037,403
1742842580.8145566,394
1742842580.81561,386
1742842580.8166635,377
1742842580.817717,370
1742842580.81877,362
1742842580.8198233,354
1742842580.8208768,347
1742842580.82193,340
1742842580.8229833,333
1742842580.8240364,326
1742842580.82509,319
1742842580.826143,312
1742842580.8271961,305
1742842580.8282495,299
1742842580.829303,293
1742842580.830357,288
1742842580.8314097,282
1742842580.8324628,276
1742842580.833517,271
1742842580.8345697,265
1742842580.8356225,260
1742842580.8366756,256
1742842580.8377297,251
1742842580.8387825,245
1742842580.8398352,241
1742842580.8408883,236
1742842580.8419423,232
1742842580.8429952,227
1742842580.844048,223
1742842580.845102,218
1742842580.8461554,214
1742842580.847208,210
1742842580.8482614,206
1742842580.8493109,203
1742842580.850368,199
1742842580.851421,195
1742842580.8524745,191
1742842580.8535285,188
1742842580.8545814,185
1742842580.8556345,182
1742842580.8566875,178
1742842580.857741,176
1742842580.8588035,173
1742842580.859853,171
1742842580.8609047,168
1742842580.8619585,165
1742842580.8630106,162
1742842580.8640635,159
1742842580.8651164,156
1742842580.86617,154
1742842580.867222,152
1742842580.868275,149
1742842580.86933,148
1742842580.8703885,156
1742842580.871667,181
1742842580.8725607,646
1742842580.873621,931
1742842580.8746846,928
1742842580.8757277,932
1742842580.8767796,934
1742842580.8778324,934
1742842580.8788857,934
1742842580.8799381,933
1742842580.8809907,933
1742842580.882044,932
1742842580.8830976,931
1742842580.8841507,932
1742842580.8852034,932
1742842580.8862977,929
1742842580.8873103,932
1742842580.8883626,932
1742842580.8894348,932
1742842580.8904696,931
1742842580.8915217,932
1742842580.8925748,933
1742842580.893628,933
1742842580.8946815,933
1742842580.8957338,932
1742842580.8967865,933
1742842580.8978395,931
1742842580.898893,932
1742842580.8999455,932
1742842580.900998,932
1742842580.9020512,932
1742842580.9031048,932
1742842580.9041572,932
1742842580.905211,933
1742842580.9062674,932
1742842580.9073298,931
1742842580.908377,932
1742842580.9094296,935
1742842580.910482,932
1742842580.9115486,931
1742842580.912604,931
1742842580.913656,931
1742842580.914708,931
1742842580.9157617,932
1742842580.9168143,932
1742842580.9178681,932
1742842580.9189215,931
1742842580.9199755,932
1742842580.9210281,932
1742842580.9220817,932
1742842580.923136,931
1742842580.924189,933
1742842580.925242,932
1742842580.926296,934
1742842580.9273462,931
1742842580.928403,932
1742842580.9294615,932
1742842580.9305098,932
1742842580.9315639,932
1742842580.9326165,932
1742842580.933671,933
1742842580.9347239,933
1742842580.9357774,932
1742842580.9368305,932
1742842580.9378839,931
1742842580.9389374,931
1742842580.9399912,932
1742842580.9410439,932
1742842580.942098,931
1742842580.943151,932
1742842580.944205,931
1742842580.945258,932
1742842580.9463112,932
1742842580.9473646,932
1742842580.948432,930
1742842580.9494789,931
1742842580.950553,930
1742842580.951591,932
1742842580.952644,931
1742842580.953697,933
1742842580.9547608,931
1742842580.9558187,930
1742842580.9568703,932
1742842580.957922,932
1742842580.9589894,934
1742842580.9600441,932
1742842580.9610946,933
1742842580.962153,932
1742842580.9632044,931
1742842580.964259,931
1742842580.9653118,932
1742842580.9663672,931
